Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
pupigllak	pupig-–ghllag[N→N][N][Abs][Unpd][Sg]
pupigllak	pupig-–ghllak[N→N][N][Abs][Unpd][Sg]

quunpeng	quunpeng

kuumgaqelghii	kumeg-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Taagkennguq eltughaghhaan kevgaqumakanga aghnangllaatesqelluni.

eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][2SgPoss][SgPosd]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N][N][Rel][3SgPoss][SgPosd]
eltughaghhaan	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N][N][Rel][3SgPoss][PlPosd]
eltughaghhaan	eltughagh*-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	eltughagh*-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	eltughagh*-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	eltughagh*-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eltughaghhaan	eltughagh*-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
