AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
taakut	taake[V][Intr][Ind][3Pl]

taghnughhaatlu	taghnughhagh*[N][Abs][Unpd][Pl]-llu[Encl]
taghnughhaatlu	taghnughhagh*[N][Abs][3PlPoss][SgPosd]-llu[Encl]
taghnughhaatlu	taghnughhagh*[N][Rel][Unpd][Pl]-llu[Encl]

taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]
taghtuquunneghata	taghtugh-–qu[V→V]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-ate[N→V][V][Intr][Intrg][3Sg]
taghtuquunneghata	taghtugh-–qu[V→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Ctmp][3Pl]

iikluki	iiw-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Pl]
iikluki	iiw-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Pl]
iikluki	iiw-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Pl]
iikluki	iiw-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V][V][Trns][Sbrd][_][3Pl]
iikluki	iike-te[V→V][V][Trns][Sbrd][_][3Pl]
